"Section"	"section_id"	"req_id"	"full_key"	"key_as_number"	"requirement"	"Test Availability"	"search_roots"	"search_terms"	"manual_search_terms"	"not_search_terms"	"not_files"	"max_matches"	"class_defs"	"methods"	"modules"	"protected"	"Area"	"Shortened"	"Test Level"	"class_def"	"method"	"module"	"class_defs"	"methods"	"modules"	"file_name"	"matched_files"	"methods_string"	"urls"	"method_text"	"matched_terms"	"qualified_method"
"9.11.3  Identity Credential"	"9.11.3"	"C-0-1"	"9.11.3/C-0-1"	"09110300.670001"	"""C-0-1] MUST return non-null for the [IdentityCredentialStore#getInstance()](      https://developer.android.com/reference/android/security/identity/IdentityCredentialStore#getInstance%28android.content.Context%29)      method.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.4.6"	"H-0-1"	"7.1.4.6/H-0-1"	"07010406.720001"	"""[7.1.4.6/H-0-1] MUST report whether the device     supports the GPU profiling capability via a system property     `graphics.gpu.profiler.support`.  If Handheld device implementations declare support via a system property `graphics.gpu.profiler.support`, they:  *    ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.3  Captive Portals"	"7.4.5.3"	"C-1-1"	"7.4.5.3/C-1-1"	"07040503.670101"	"""C-1-1] MUST provide a captive portal application to handle the intent     [`ACTION_CAPTIVE_PORTAL_SIGN_IN`](https://developer.android.com/reference/android/net/ConnectivityManager#ACTION_CAPTIVE_PORTAL_SIGN_IN)     and display the captive portal login page, by sending that intent, on     call to the System API     `ConnectivityManager#startCaptivePortalApp(Network, Bundle)`. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.13  Hinge Angle Sensor"	"7.3.13"	"C-1-2"	"7.3.13/C-1-2"	"07031300.670102"	"""C-1-2] MUST support at least two readings between 0 and 360 degrees     (inclusive i.e including 0 and 360 degrees). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.1.1"	"H-2-1"	"7.1.1.1/H-2-1"	"07010101.720201"	"""[7.1.1.1/H-2-1]* MUST make the logical screen that is made available for third party applications be at least 2.7 inches on the short edge(s). Devices which launched on an API level earlier than that of this document are exempted from this requirement.  If Handheld device implementations claim support for high dynamic range displays through [`Configuration.isScreenHdr()` ](https://developer.android.com/reference/android/content/res/Configuration.html#isScreenHdr%28%29) , they:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6.1  Developer Tools"	"6.1"	"C-0-11"	"6.1/C-0-11"	"06010000.670011"	"""C-0-11] MUST support the shell command `cmd testharness`. Upgrading         device implementations from an earlier Android version without a         persistent data block MAY be exempted from C-0-11.     """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.1.1  Android Extensions"	"3.1.1"	"C-0-2"	"3.1.1/C-0-2"	"03010100.670002"	"""C-0-2] MUST only return valid extension version number that have been     defined by the AOSP.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.11.3  Identity Credential"	"9.11.3"	"C-0-2"	"9.11.3/C-0-2"	"09110300.670002"	"""C-0-2] MUST implement the Identity Credential System (e.g. the      `android.security.identity.*` APIs) with code communicating with a trusted      application in an area that is securely isolated from the code running on      the kernel and above. Secure isolation MUST block all potential mechanisms      by which kernel or userspace code might access the internal state of the      isolated environment, including DMA.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-4-3"	"7.3.10/C-4-3"	"07031000.670403"	"""C-4-3] MUST implement the [ACTION_BIOMETRIC_ENROLL](https://developer.android.com/reference/android/provider/Settings#ACTION_BIOMETRIC_ENROLL)     action on devices that have either **Class 3** or **Class 2** biometrics.     This action MUST only present the enrollment entry points for **Class 3**     or **Class 2** biometrics.  If device implementations support passive biometrics, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6.1  Developer Tools"	"6.1"	"C-4-1"	"6.1/C-4-1"	"06010000.670401"	"""C-4-1] MUST have the `AdbManager#isAdbWifiSupported()` method     return `true`.      If device implementations support adb connections to a host machine via     Wi-Fi and includes at least one camera, they:      """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.10  Connectivity Bug Report"	"9.8.10"	"C-1-2"	"9.8.10/C-1-2"	"09081000.670102"	"""C-1-2] MUST display and obtain explicit user consent when the reports are     starting to be generated and MUST NOT return the generated report     to the requesting app without explicit user consent. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18  Contacts"	"3.18"	"C-1-4"	"3.18/C-1-4"	"03180000.670104"	"""C-1-4] Raw contacts inserted into the **custom local account** MUST not be      removed when accounts are added or removed. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.3  Captive Portals"	"7.4.5.3"	"C-1-4"	"7.4.5.3/C-1-4"	"07040503.670104"	"""C-1-4] MUST use encrypted DNS as per the SDK documentation for     [`android.net.LinkProperties.getPrivateDnsServerName`](https://developer.android.com/reference/android/net/LinkProperties.html#getPrivateDnsServerName%28%29)     and [`android.net.LinkProperties.isPrivateDnsActive`](https://developer.android.com/reference/android/net/LinkProperties#isPrivateDnsActive%28%29)     for all network traffic that is not explicitly communicating with the     captive portal. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.4.2 Vulkan"	"7.1.4.2"	"C-1-8"	"7.1.4.2/C-1-8"	"07010402.670108"	"""C-1-8] MUST report the maximum version of the Vulkan dEQP Tests     supported via the `android.software.vulkan.deqp.level` feature flag. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.9.4  Resume on Reboot"	"9.9.4"	"C-0-1"	"9.9.4/C-0-1"	"09090400.670001"	"""C-0-1] CE storage MUST NOT be readable even for the attacker who physically has the device and then has these capabilities and limitations:      *   Can use the signing key of any vendor or company to sign arbitrary         messages.     *   Can cause an OTA to be received by the device.     *   Can modify the operation of any hardware (AP, flash etc) except as         detailed below, but such modification involves a delay of at least an         hour and a power cycle that destroys RAM contents.     *   Cannot modify the operation of tamper-resistant hardware (eg Titan M).     *   Cannot read the RAM of the live device.     *   Cannot obtain the user’s credential (PIN, pattern, password) or         otherwise cause it to be entered.  By way of example, a device implementation that implements and complies with all of the descriptions found [here](https://source.android.com/devices/tech/ota/resume-on-reboot) will be compliant with [C-0-1]. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.8.15  Display Cutout"	"3.8.15"	"C-1-5"	"3.8.15/C-1-5"	"03081500.670105"	"""C-1-5] MUST NOT have cutout(s) if the device's aspect ratio is 1.0(1:1). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.10  Connectivity Bug Report"	"9.8.10"	"C-1-3"	"9.8.10/C-1-3"	"09081000.670103"	"""C-1-3] MUST generate requested reports containing at least the following     information:     *   TelephonyDebugService dump     *   TelephonyRegistry dump     *   WifiService dump     *   ConnectivityService dump     *   A dump of the calling package's CarrierService instance (if bound)     *   Radio log buffer """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.2.4  Touchscreen Input"	"7.2.4"	"C-3-3"	"7.2.4/C-3-3"	"07020400.670303"	"""C-3-3] MUST report `TOUCHSCREEN_NOTOUCH` for the [`Configuration.touchscreen`](https://developer.android.com/reference/android/content/res/Configuration.html#touchscreen) API field.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.4.6"	"H-1-4"	"7.1.4.6/H-1-4"	"07010406.720104"	"""[7.1.4.6/H-1-4] MUST report a GPU Frequency      tracepoint as specified by the format: [power/gpu_frequency](https://android.googlesource.com/platform/external/perfetto/+/refs/heads/master/protos/perfetto/trace/ftrace/power.proto).  Handheld device implementations:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3  Sensors"	"7.3"	"C-4-1"	"7.3/C-4-1"	"07030000.670401"	"""C-4-1] MUST NOT include any fixed, factory-determined calibration     parameters in the data provided.  If device implementations include a combination of 3-axis accelerometer, a 3-axis gyroscope sensor, or a magnetometer sensor, they are:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18  Contacts"	"3.18"	"C-1-1"	"3.18/C-1-1"	"03180000.670101"	"""C-1-1] The      [`ACCOUNT_NAME`](https://developer.android.com/reference/android/provider/ContactsContract.SyncColumns.html#ACCOUNT_NAME),      of the **custom local account** MUST be returned by      [`ContactsContract.RawContacts.getLocalAccountName`](https://developer.android.com/reference/android/provider/ContactsContract.RawContacts.html#getLocalAccountName\(\)) """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-11-1"	"3.2.3.5/C-11-1"	"03020305.671101"	"""C-11-1] MUST have an activity that handles the [`Settings.ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS`](https://developer.android.com/reference/android/provider/Settings#ACTION_IGNORE_BACKGROUND_DATA_RESTRICTIONS_SETTINGS) intent but MAY implement it as a no-op.  If device implementations declare the support for camera via `android.hardware.camera.any` they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.3  Software"	"3.8.16"	"H-1-1"	"3.8.16/H-1-1"	"03081600.720101"	"""[3.8.16/H-1-1] MUST declare the feature     flag [`android.software.controls`](https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_CONTROLS)     and set it to `true`. *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-3-1"	"7.4.5.2/C-3-1"	"07040502.670301"	"""C-3-1] MUST support IPv6 operation (IPv6-only and possibly dual-stack) on     cellular.  If device implementations support more than one network type (e.g., Wi-Fi and cellular data), they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.6.2  Software"	"3.2.3.1"	"Tab-0-1"	"3.2.3.1/Tab-0-1"	"03020301.980001"	"""[3.2.3.1/Tab-0-1]  MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed [here](https://developer.android.com/about/versions/11/reference/common-intents-30)."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-0-2"	"7.4.5.2/C-0-2"	"07040502.670002"	"""C-0-2] MUST include an IPv6 networking stack and support IPv6 communication using the managed APIs, such as `java.net.Socket` and `java.net.URLConnection`, as well as the native APIs, such as `AF_INET6` sockets. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-1-1"	"7.4.5.2/C-1-1"	"07040502.670101"	"""C-1-1] MUST support dual-stack and IPv6-only operation on Wi-Fi.  If device implementations support Ethernet, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-6-1"	"3.2.3.5/C-6-1"	"03020305.670601"	"""C-6-1] MUST implement an activity that would respond to the intent [`ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS`](https://developer.android.com/reference/android/provider/Settings#ACTION_NOTIFICATION_POLICY_ACCESS_SETTINGS), which for implementations with UI_MODE_TYPE_NORMAL it MUST be an activity where the user can grant or deny the app access to DND policy configurations.  If device implementations allow users to use third-party input methods on the device, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-12-1"	"3.2.3.5/C-12-1"	"03020305.671201"	"""C-12-1] MUST honor the [`android.media.action.STILL_IMAGE_CAMERA`](https://developer.android.com/reference/android/provider/MediaStore#INTENT_ACTION_STILL_IMAGE_CAMERA) and [`android.media.action.STILL_IMAGE_CAMERA_SECURE`](https://developer.android.com/reference/android/provider/MediaStore#INTENT_ACTION_STILL_IMAGE_CAMERA_SECURE) intent and launch the camera in still image mode as described in the SDK. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.8  Secure Elements"	"7.4.8"	"C-1-2"	"7.4.8/C-1-2"	"07040800.670102"	"""C-1-2] MUST declare the correct feature flags via     [`android.hardware.se.omapi.uicc`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_UICC)     for the device with UICC-based secure elements,     [`android.hardware.se.omapi.ese`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_ESE)     for the device with eSE-based secure elements and     [`android.hardware.se.omapi.sd`](     https://developer.android.com/reference/android/content/pm/PackageManager#FEATURE_SE_OMAPI_SD)     for the device with SD-based secure elements."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.1  Permissions"	"9.1"	"C-2-1"	"9.1/C-2-1"	"09010000.670201"	"""C-2-1] MUST ensure that all activities with intent filters for the     [`ACTION_MANAGE_OVERLAY_PERMISSION`](     https://developer.android.com/reference/android/provider/Settings.html#ACTION_MANAGE_OVERLAY_PERMISSION)     intent have the same UI screen, regardless of the initiating app or any     information it provides."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.13  Hinge Angle Sensor"	"7.3.13"	"C-1-3"	"7.3.13/C-1-3"	"07031300.670103"	"""C-1-3] MUST return a [wakeup](https://developer.android.com/reference/android/hardware/Sensor.html#isWakeUpSensor%28%29)     sensor for [`getDefaultSensor(SENSOR_TYPE_HINGE_ANGLE)`](https://developer.android.com/reference/android/hardware/SensorManager#getDefaultSensor%28int%29)."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.4.6"	"H-1-2"	"7.1.4.6/H-1-2"	"07010406.720102"	"""[7.1.4.6/H-1-2] MUST report conformant values      for the device’s GPU counters following the      [gpu counter trace packet proto](https://android.googlesource.com/platform/external/perfetto/+/refs/heads/master/protos/perfetto/trace/gpu/gpu_counter_event.proto). *    ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-3-4"	"7.3.10/C-3-4"	"07031000.670304"	"""C-3-4] MUST challenge the user for the recommended primary     authentication (e.g. PIN, pattern, password) once every 72 hours     or less.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6.1  Developer Tools"	"6.1"	"C-5-1"	"6.1/C-5-1"	"06010000.670501"	"""C-5-1] MUST have the `AdbManager#isAdbWifiQrSupported()` method      return `true`.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-8-1"	"3.2.3.5/C-8-1"	"03020305.670801"	"""C-8-1] MUST honor the [`android.settings.ACCESSIBILITY_SETTINGS`](https://developer.android.com/reference/android/provider/Settings#ACTION_ACCESSIBILITY_SETTINGS) intent to provide a user-accessible mechanism to enable and disable the third-party accessibility services alongside the preloaded accessibility services.  If device implementations include support for Wi-Fi Easy Connect and expose the functionality to third-party apps, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.2.1  Hardware"	"7.1.4.6"	"H-1-1"	"7.1.4.6/H-1-1"	"07010406.720101"	"""[7.1.4.6/H-1-1] MUST report as output a      protobuf trace that complies with the schema for GPU counters and GPU      renderstages defined in the [Perfetto documentation](https://developer.android.com/studio/command-line/perfetto). *    ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.1.1  Screen Size and Shape"	"7.1.1.1"	"C-2-1"	"7.1.1.1/C-2-1"	"07010101.670201"	"""C-2-1] MUST implement the latest available stable version of the [extensions API]( https://developer.android.com/jetpack/androidx/releases/window-extensions) or the stable version of [sidecar API]( https://cs.android.com/androidx/platform/frameworks/support/+/androidx-main:window/window-sidecar/api/) to be used by [Window Manager Jetpack]( https://developer.android.com/jetpack/androidx/releases/window) library.  If device implementations include an Android-compatible display(s) that is foldable, or includes a folding hinge between multiple display panels and if the hinge or fold crosses a fullscreen application window, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.3  Captive Portals"	"7.4.5.3"	"C-1-2"	"7.4.5.3/C-1-2"	"07040503.670102"	"""C-1-2] MUST perform detection of captive portals and support login     through the captive portal application when the device is connected     to any network type, including cellular/mobile network, WiFi, Ethernet     or Bluetooth. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.1.1.1  Screen Size and Shape"	"7.1.1.1"	"C-3-1"	"7.1.1.1/C-3-1"	"07010101.670301"	"""C-3-1] MUST report the position, bounds and state of hinge or fold through      extensions or sidecar APIs to the application.  For details on correctly implementing the sidecar or extension APIs refer to the public documentation of [Window Manager Jetpack]( https://developer.android.com/jetpack/androidx/releases/window).  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.10  Biometric Sensors"	"7.3.10"	"C-6-2"	"7.3.10/C-6-2"	"07031000.670602"	"""C-6-2] MUST present only **Class 3** biometrics when the authentication     requires [BIOMETRIC_STRONG](https://developer.android.com/reference/android/hardware/biometrics/BiometricManager.Authenticators#BIOMETRIC_STRONG),     or the authentication is invoked with a     [CryptoObject](https://developer.android.com/reference/android/hardware/biometrics/BiometricPrompt.CryptoObject).  If device implementations wish to treat a biometric sensor as **Class 1** (formerly **Convenience**), they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-0-6"	"7.4.5.2/C-0-6"	"07040502.670006"	"""C-0-6] MUST provide third-party applications with direct IPv6 connectivity to the network when connected to an IPv6 network, without any form of address or port translation happening locally on the device. Both managed APIs such as [`Socket#getLocalAddress`]( https://developer.android.com/reference/java/net/Socket.html#getLocalAddress%28%29) or [`Socket#getLocalPort`]( https://developer.android.com/reference/java/net/Socket.html#getLocalPort%28%29)) and NDK APIs such as `getsockname()` or `IPV6_PKTINFO` MUST return the IP address and port that is actually used to send and receive packets on the network and is visible as the source ip and port to internet (web) servers.   The required level of IPv6 support depends on the network type, as shown in the following requirements.  If device implementations support Wi-Fi, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.11.3  Identity Credential"	"9.11.3"	"C-0-4"	"9.11.3/C-0-4"	"09110300.670004"	"""C-0-4] The trusted application MUST be implemented in a way such that its      security properties  are not affected (e.g. credential data is not released unless access      control conditions are satisfied, MACs can't be produced for arbitrary      data) even if Android is misbehaving or compromised. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6.1  Developer Tools"	"6.1"	"C-3-1"	"6.1/C-3-1"	"06010000.670301"	"""C-3-1] MUST implement adb via local-area network (such as Ethernet     or Wi-Fi).     """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.1.1  Android Extensions"	"3.1.1"	"C-0-3"	"3.1.1/C-0-3"	"03010100.670003"	"""C-0-3] MUST support all the APIs defined by the extension versions     returned by `android.os.ext.SdkExtensions.getExtensionVersion(int apiLevel)`     in the same manner as other managed APIs are supported, following the     requirements in [section 3.1.  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.18  Contacts"	"3.18"	"C-1-5"	"3.18/C-1-5"	"03180000.670105"	"""C-1-5] Delete operations performed against the **custom local account**      MUST result in raw contacts being purged immediately (as if the      [`CALLER_IS_SYNCADAPTER`](https://developer.android.com/reference/android/provider/ContactsContract.html#CALLER_IS_SYNCADAPTER)      param was set to true), even if the `CALLER\_IS\_SYNCADAPTER` param was set      to false or not specified."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.10  Connectivity Bug Report"	"9.8.10"	"C-1-4"	"9.8.10/C-1-4"	"09081000.670104"	"""C-1-4] MUST NOT include the following in the generated reports:     *   Any kind of information unrelated to connectivity debugging.     *   Any kind of user-installed application traffic logs or detailed profiles         of user-installed applications/packages (UIDs are okay, package names         are not). *   MAY include additional information that is not associated with any user     identity. (e.g. vendor logs).  If device implementations include additional information (e.g vendor logs) in the bug report and that information has privacy/security/battery/storage/memory impact, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2.4.3  Software"	"3.2.3.1"	"W-0-1"	"3.2.3.1/W-0-1"	"03020301.870001"	"""[3.2.3.1/W-0-1]  MUST preload one or more applications or service components with an intent handler, for all the public intent filter patterns defined by the following application intents listed [here](https://developer.android.com/about/versions/11/reference/common-intents-30).  Watch device implementations:  *   [[3.8.4/W-SR] Are STRONGLY RECOMMENDED to implement an assistant on the device to handle the [Assist action]( http://developer.android.com/reference/android/content/Intent.html#ACTION_ASSIST).  Watch device implementations that declare the `android.hardware.audio.output` feature flag:  *   ["""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.11.3  Identity Credential"	"9.11.3"	"C-0-3"	"9.11.3/C-0-3"	"09110300.670003"	"""C-0-3] The cryptographic operations needed to implement the Identity      Credential System (e.g. the `android.security.identity.*` APIs) MUST be      performed entirely in the trusted application and private key material MUST      never leave the isolated execution environment unless specifically required      by higher-level APIs (e.g. the      [createEphemeralKeyPair()](https://developer.android.com/reference/android/security/identity/IdentityCredential#createEphemeralKeyPair%28%29)      method).  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.3.13  Hinge Angle Sensor"	"7.3.13"	"C-1-1"	"7.3.13/C-1-1"	"07031300.670101"	"""C-1-1] MUST implement and report [`TYPE_HINGLE_ANGLE`](https://developer.android.com/reference/android/hardware/Sensor#STRING_TYPE_HINGE_ANGLE). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7.4.5.2  IPv6"	"7.4.5.2"	"C-0-3"	"7.4.5.2/C-0-3"	"07040502.670003"	"""C-0-3] MUST enable IPv6 by default.    *   MUST ensure that IPv6 communication is as reliable as IPv4, for example:       """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.16  Application Data Migration"	"9.16"	"C-1-4"	"9.16/C-1-4"	"09160000.670104"	"""C-1-4] MUST only migrate application data to the same application on the      target device, with the same package name AND signing certificate. """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-7-1"	"3.2.3.5/C-7-1"	"03020305.670701"	"""C-7-1] MUST provide a user-accessible mechanism to add and configure third-party input methods in response to the [`android.settings.INPUT_METHOD_SETTINGS`](https://developer.android.com/reference/android/provider/Settings#ACTION_INPUT_METHOD_SETTINGS) intent.  If device implementations support third-party accessibility services, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3.2.3.5  Conditional Application Intents"	"3.2.3.5"	"C-13-2"	"3.2.3.5/C-13-2"	"03020305.671302"	"""C-13-2] MUST honor the  intents [android.app.action.ADMIN_POLICY_COMPLIANCE](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_ADMIN_POLICY_COMPLIANCE), [android.app.action.GET_PROVISIONING_MODE](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_GET_PROVISIONING_MODE), [android.app.action.PROVISIONING_SUCCESSFUL](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_PROVISIONING_SUCCESSFUL), [android.app.action.PROVISION_MANAGED_DEVICE](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_PROVISION_MANAGED_DEVICE), [android.app.action.PROVISION_MANAGED_PROFILE](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_PROVISION_MANAGED_PROFILE), [android.app.action.SET_NEW_PARENT_PROFILE_PASSWORD](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_SET_NEW_PARENT_PROFILE_PASSWORD), [android.app.action.SET_NEW_PASSWORD](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_SET_NEW_PASSWORD) & [android.app.action.START_ENCRYPTION](https://developer.android.com/reference/android/app/admin/DevicePolicyManager#ACTION_START_ENCRYPTION) and have an activity to provide fulfillment for these intents as described in SDK [here](https://developer.android.com/reference/android/app/admin/DevicePolicyManager).  If device implementations declare the [`android.software.autofill`](https://developer.android.com/reference/android/content/pm/PackageManager.html#FEATURE_AUTOFILL) feature flag, they:  """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.16  Application Data Migration"	"9.16"	"C-1-5"	"9.16/C-1-5"	"09160000.670105"	"""C-1-5] MUST show an indication that the source device has had data      migrated by a device-to-device data migration in the settings menu. A user      SHOULD NOT be able to remove this indication."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.8.11  Data blobs sharing"	"9.8.11"	"C-1-2"	"9.8.11/C-1-2"	"09081100.670102"	"""C-1-2] MUST NOT send off device or share with other apps the secure hashes     of data blobs (which are used to control access)."""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9.16  Application Data Migration"	"9.16"	"C-1-1"	"9.16/C-1-1"	"09160000.670101"	"""C-1-1] MUST NOT initiate transfers of application data from      devices on which the user has not set a primary authentication as      described in [9.11.1 Secure Lock Screen and Authentication](      #9_11_1_secure_lock_screen_and_authentication). """	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
